,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
29,104,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,11,Domino Thieben,H,5,deferre_anterieurs_posterieurs,F.Lagadeuc,Ch.Ecalard,33420,"[3, 6, 3, 7]",[],5.7,3,2,75.66666666666667
30,105,VINCENNES, 14h07,1 Jan,34000,2850,13,gauche,10,40,12,Django Leman,H,5,False,A.Angot,M.Bezier,34320,[],"[7, 3, 7, 1]",19,22,5,77.5
31,106,VINCENNES, 14h38,1 Jan,34000,2850,13,gauche,10,40,13,Dandy Du Rosay,H,5,False,D.Bonne,O.Tirard,35270,"[6, 'D', 'D', 8]",[],28,35,False,False
32,132,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,1,Castelorienne,F,6,deferre_posterieurs,Ch.Bouteiller,Y.Lizee,27020,"[8, 4]","[9, 4]",50,73,9,77.33333333333333
33,133,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,2,Cigale D'arry,F,6,False,Mme.M.Morandeau,D.Brohier,28260,"[6, 4, 5, 8]",[],59,90,6,77.16666666666667
34,134,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,3,Calie De La Com.,F,6,False,L.th.Wissocq,G.Roig-balaguer,40990,"['D', 'D', 2]",['D'],47,50,False,False
35,135,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,4,Colombe Reynald,F,6,False,Mlle.E.Desmigneux,A.Lannoo,43320,"[0, 6]","[4, 4]",62,79,8,77.0
36,136,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,5,Classica Musica,F,6,False,D.Castillejo,J.l.Giot,45960,"[5, 4]","['D', 3]",28,42,2,76.0
37,137,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,6,Capucine Fanac,F,6,deferre_posterieurs,Mlle.O.Herbiniere,L.m.David,50780,"[9, 9]","[3, 4]",42,43,7,77.0
38,138,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,7,Cumbia Du Derby,F,6,deferre_anterieurs,F.Letonturier,S.Lelievre,53150,"[0, 0]",['D'],101,145,1,78.33333333333333
39,139,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,8,Cyga De Vandel,F,6,deferre_posterieurs,A.Angot,G.Curens,53690,[],"[5, 'D', 7, 8]",11,15,False,False
40,140,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,9,Comtesse D'orco,F,6,deferre_anterieurs_posterieurs,R.Marty,F.Rochette,55180,"[4, 6, 'D', 6]",[],13,15,5,77.16666666666667
41,141,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,10,Castellane Phedo,F,6,deferre_anterieurs_posterieurs,Mlle.O.Briand,P.Touvais,61090,"[3, 6, 5, 'D']",[],5.2,6.4,4,76.83333333333333
42,142,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,11,Cabale D'enfer,F,6,False,P.Thieulent,G.Delacour,64320,[],"['D', 1, 9, 3]",13,10,False,False
43,143,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,12,Celiane D'isques,F,6,False,M.Krouchi,F.Chartier,68540,"[4, 4, 6, 1]",[],5.4,4.6,False,75.33333333333333
44,144,VINCENNES, 14h38,1 Jan,36000,2850,13,gauche,9,18,13,Chipie Du Vivier,F,6,deferre_anterieurs,Mlle.Ch.Lefebvre,Th.Duvaldestin,71870,"[6, 2, 'D', 1]",[],2.4,2.1,3,76.66666666666667
45,175,VINCENNES, 14h38,1 Jan,34000,2175,16,gauche,9,18,1,Elite Star,F,4,deferre_anterieurs,B.Rochard,D.Lemetayer,False,[],[],43,61,4,77.33333333333333
46,176,VINCENNES, 14h38,1 Jan,34000,2175,16,gauche,9,18,2,Egee Quesnot,F,4,deferre_anterieurs_posterieurs,E.Raffin,W.Michel,6710,[],"[9, 5, 3, 2]",11,13,False,False
47,177,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,3,Elisa De Bouteau,F,4,deferre_anterieurs_posterieurs,Mlle.Ch.Lefebvre,M.Dupuis,7130,"[5, 6, 5, 'D']",[],12,21,False,76.0
48,178,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,4,Eclipse D'arjea.,F,4,False,P.y.Verva,J.l.Dersoir,7780,[],"['D', 3, 2, 3]",9,6.9,7,78.83333333333333
49,179,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,5,Ecume De Beauli.,F,4,False,M.Mottier,Ph.Rouer,7800,['D'],"['D', 3, 7]",33,29,False,False
50,180,VINCENNES, 15h17,1 Jan,34000,2175,16,gauche,9,18,6,Evita Bella,F,4,deferre_anterieurs_posterieurs,Y.Lebourgeois,F.Lindrec,8685,"[7, 3, 4]",[0],8.2,7.5,6,78.33333333333333
