,id,lieu,heure,jour,prix,distance,nombre de partants,corde,température,vent,numero de départ,nom cheval,sexe cheval,age cheval,fer,driver,entraineur,gain,musique monté,musique attelé,cote ouverture,cote fermeture,place,temps : en secondes
0,0,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,1.0,Eclair Mace,H,4,False,Th.Dromigny,G.Contri,18070,"[8, 6, 5, 7]",[],63,155,5,84.16666666666667
1,1,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,2.0,Espion Jaune,H,4,False,A.Abrivard,Ch.Clin,43790,"[2, 4, 1]",[7],8.3,10,False,False
2,2,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,3.0,Easy Turgot,H,4,deferre_posterieurs,V.Saussaye,S.Roger,46200,"[7, 8]","[4, 'D']",21,54,4,76.5
3,3,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,4.0,Elino Bilou,H,4,False,M.Abrivard,Th.Duvaldestin,57610,"[1, 2, 1, 'D']",[],1.9,2,2,74.0
4,4,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,5.0,Excelsior,H,4,deferre_anterieurs_posterieurs,Y.Lebourgeois,J.p.Allix,66090,"[5, 3, 2, 2]",[],3.7,2.6,False,74.0
5,5,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,6.0,El Diablo D'aut,M,4,deferre_posterieurs,E.Raffin,V.Raimbault,67610,[],"['D', 1, 6, 4]",6.8,8.2,3,74.16666666666667
6,6,VINCENNES, 13h07,1 Jan,60000,2175,7,gauche,10,40,7.0,Espoir Anvalou,M,4,False,A.Lamy,A.Dubois,68670,['D'],"['D', 'D', 6]",17,22,False,False
7,63,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,1.0,Bombe De Caillo.,F,7,False,Mlle.ClaraDersoir,MmeC.Hallais-de.,107790,"[6, 6, 9]",['D'],38,109,9,76.66666666666667
8,64,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,2.0,Bali Du Pouet D.,F,7,False,Mlle.Ch.Lefebvre,MmeG.Masschaele,107900,"[3, 5, 3]",[9],31,48,1,77.16666666666667
9,65,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,3.0,Benjamine Gede,F,7,deferre_posterieurs,L.Jublot,A.Pillon,139780,"[3, 7, 'D']",[0],20,24,3,76.33333333333333
10,66,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,4.0,Belle Katie,F,7,deferre_anterieurs_posterieurs,J.y.Ricart,J.m.Bazire,146490,"[2, 'D']","['D', 0]",4.5,4.3,6,76.0
11,67,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,5.0,Barack,H,7,False,Mlle.O.Briand,L.cl.Abrivard,151260,"[4, 3, 'D', 5]",[],14,12,7,76.16666666666667
12,68,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,6.0,Bolero Du Levant,H,7,deferre_anterieurs,A.Rebeche,D.Bethouart,155730,"[1, 2, 3]",[2],2.8,3,False,75.83333333333333
13,69,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,7.0,Beltis D'occagn.,F,7,deferre_posterieurs,R.Marty,A.RipollRigo,157500,"[4, 1, 0]",[8],15,8.8,5,76.5
14,70,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,8.0,Bad Boy Terrie,H,7,False,A.Angot,B.Angot,160880,"['D', 7, 4, 2]",[],28,52,1,77.83333333333333
15,71,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,9.0,Baron Du Bourg,H,7,False,J.Balu,J.g.VanEeckhaute,161330,"[1, 5, 0, 4]",[],15,16,2,76.33333333333333
16,72,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,10.0,Banco De L'iton,H,7,deferre_anterieurs,M.Pean,HughesLevesque,162590,"[7, 6, 6, 6]",[],43,64,1,78.16666666666667
17,73,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,11.0,Ball Trap,H,7,deferre_anterieurs_posterieurs,Mlle.M.Asseline,J.w.Hallais,164540,"[4, 2, 6]",[0],9.2,9,4,76.5
18,74,VINCENNES, 15h47,1 Jan,52000,2850,12,gauche,10,40,12.0,Bambino Du Pre,H,7,deferre_anterieurs_posterieurs,V.Saussaye,G.Thorel,168960,"[5, 4]","['D', 0]",8.3,7.5,8,76.16666666666667
19,93,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,1.0,Democrat Renka,H,5,False,Mlle.Ch.Lefebvre,E.Varin,13100,[],"[5, 4, 8, 'D']",43,93,False,False
20,94,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,2.0,Darius Du Loche.,H,5,False,JulienRaffestin,D.Brohier,13560,"['A', 8]","[8, 5]",11,30,False,False
21,95,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,3.0,Diamant De Malac,M,5,False,Th.Viet,J.f.Senet,16870,[],"['D', 6, 'D', 'D']",30,102,6,79.16666666666667
22,96,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,4.0,Django Du Jaguy,H,5,False,Th.Dromigny,M.Dupuis,19740,"[7, 'D', 9]",['D'],69,162,8,80.5
23,97,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,5.0,Divin,H,5,deferre_anterieurs_posterieurs,M.Mottier,D.Mottier,24910,[5],"['D', 1, 8]",5.7,5.5,False,75.0
24,98,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,6.0,Dynamique Style,M,5,False,F.Desmigneux,AndersLindqvist,29730,"[7, 4]","['D', 0]",37,49,False,False
25,99,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,7.0,Desir Bay,H,5,deferre_anterieurs_posterieurs,Cl.ch.Vaugrante,J.VanEeckhaute,30950,"[4, 4, 5, 8]",[],10,7.2,3,77.16666666666667
26,100,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,8.0,Desir D'ariane,H,5,False,D.Thomain,D.Bethouart,31310,[],"['D', 'D', 'D', 0]",9.2,7.5,False,False
27,101,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,9.0,Diademe Du Cebe,H,5,deferre_anterieurs_posterieurs,A.Lamy,F.Leblanc,31600,[],"['D', 0, 7, 8]",3.6,5.4,4,77.5
28,102,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,10.0,Deci Dela,H,5,False,F.Nivard,LoicGroussard,32190,"[7, 8, 9, 0]",[],16,22,7,79.5
29,103,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,11.0,Domino Thieben,H,5,deferre_anterieurs_posterieurs,F.Lagadeuc,Ch.Ecalard,33420,"[3, 6, 3, 7]",[],5.7,3,2,75.66666666666667
30,104,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,12.0,Django Leman,H,5,False,A.Angot,M.Bezier,34320,[],"[7, 3, 7, 1]",19,22,5,77.5
31,105,VINCENNES, 16h52,1 Jan,34000,2850,13,gauche,10,40,13.0,Dandy Du Rosay,H,5,False,D.Bonne,O.Tirard,35270,"[6, 'D', 'D', 8]",[],28,35,False,False
